auction,task_id,task_type,agent,local_seconds,manager_seconds,residual_ms,prior_delivery_allowance_ms
1,22,"prime_count","Auctioneers",0.0034,0.05,46.6000,55.0000
2,23,"matmul_mod","Auctioneers",0.0976,0.14,42.4000,51.6000
3,24,"monte_carlo_pi","Auctioneers",1.4248,1.48,55.2000,51.6000
4,25,"monte_carlo_pi","Auctioneers",2.7711,2.84,68.9000,60.2000
5,1,"prime_count","Auctioneers",0.0047,0.06,55.3000,73.9000
6,2,"monte_carlo_pi","Auctioneers",1.1952,1.25,54.8000,73.9000
7,3,"sort_checksum","Auctioneers",2.3735,2.43,56.5000,73.9000
8,4,"sort_checksum","Auctioneers",2.1232,2.18,56.8000,73.9000
9,5,"sort_checksum","Auctioneers",0.7659,0.82,54.1000,73.9000
10,6,"prime_count","Auctioneers",0.0028,0.07,67.2000,73.9000
11,7,"monte_carlo_pi","Auctioneers",1.7075,1.77,62.5000,73.9000
